time,id,word,file,model,quality,usd,status
2026-08-04 22:45:56,A1-L01-W02,hi,a1_l01_w02_hi.png,gpt-image-1.5,low,0.009,ok
2026-08-04 22:46:03,A1-L01-W03,goodbye,a1_l01_w03_goodbye.png,gpt-image-1.5,low,0.009,ok
2026-08-04 22:46:15,A1-L01-W01,hello,a1_l01_w01_hello.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:20:08,A1-L01-W01,hello,a1_l01_w01_hello.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:20:24,A1-L01-W01,hello,a1_l01_w01_hello.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:20:37,A1-L01-W01,hello,a1_l01_w01_hello.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:32,A1-L01-W01,hello,a1_l01_w01_hello.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:32,A1-L01-W03,goodbye,a1_l01_w03_goodbye.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:34,A1-L01-W04,morning,a1_l01_w04_morning.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:34,A1-L01-W02,hi,a1_l01_w02_hi.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:44,A1-L01-W06,evening,a1_l01_w06_evening.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:44,A1-L01-W07,night,a1_l01_w07_night.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:46,A1-L01-W05,afternoon,a1_l01_w05_afternoon.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:46,A1-L01-W08,name,a1_l01_w08_name.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:56,A1-L01-W10,student,a1_l01_w10_student.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:57,A1-L01-W09,teacher,a1_l01_w09_teacher.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:57,A1-L01-W12,doctor,a1_l01_w12_doctor.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:24:58,A1-L01-W11,manager,a1_l01_w11_manager.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:09,A1-L01-W16,yes,a1_l01_w16_yes.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:10,A1-L01-W14,please,a1_l01_w14_please.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:10,A1-L01-W13,friend,a1_l01_w13_friend.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:10,A1-L01-W15,thanks,a1_l01_w15_thanks.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:20,A1-L01-W17,no,a1_l01_w17_no.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:21,A1-L01-W19,welcome,a1_l01_w19_welcome.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:23,A1-L01-W18,sorry,a1_l01_w18_sorry.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:25:25,A1-L01-W20,meet,a1_l01_w20_meet.png,gpt-image-1.5,low,0.009,ok
2026-08-04 23:26:49,A1-L01-W02,hi,a1_l01_w02_hi.png,gpt-image-1.5,low,0.009,ok
